Summary

-------character entropy-------
e: 0.3839816291443847
t: 0.3416857852903701
a: 0.2779010547161599
o: 0.2757552080304146
i: 0.27385442804761717
n: 0.2546775473775868
s: 0.25222346728358835
h: 0.24218891757218006
r: 0.23964508706045462
l: 0.16371928158546528
c: 0.15421190256897072
d: 0.14908442743818176
f: 0.13904095504395497
u: 0.13481058487349953
m: 0.13237551939298658
p: 0.10294815828712298
b: 0.09402765225197035
y: 0.08993121341397581
,: 0.08322106821148023
w: 0.0791066419638173
g: 0.07494812860402322
v: 0.06677371439270789
.: 0.03812296247741993
q: 0.023483962619550533
;: 0.022523872540374485
x: 0.021553717881754794
T: 0.018932790283255615
0: 0.01423631060740785
k: 0.013856926608206314
': 0.011398896325944218
1: 0.010934557428179906
I: 0.009448004175621166
2: 0.007700660108782121
3: 0.006981095461380782
S: 0.00668948104475883
A: 0.006542808469974265
5: 0.0063955390831332655
j: 0.006247656965522569
6: 0.0058001615010631275
9: 0.005193784713815838
8: 0.004886019026970849
4: 0.004808564588378528
7: 0.004418018624575588
J: 0.004180912534707817
B: 0.004101384694704224
P: 0.003941557325829057
:: 0.0035371965374871566
C: 0.0034554472653535997
L: 0.003373387486760633
": 0.003373387486760633
M: 0.0032083014075324646
H: 0.0032083014075324646
N: 0.003125256329053636
z: 0.003125256329053636
-: 0.003125256329053636
E: 0.002873987930781939
O: 0.0026192675637170923
F: 0.0025335295894906937
°: 0.0025335295894906937
·: 0.002447349685497236
W: 0.0023607101652903862
/: 0.002097833725521598
D: 0.0015564302262397627
V: 0.001275904091324228
Y: 0.0009866703847087107
G: 0.0009866703847087107
R: 0.0008878644522550291
_: 0.0008878644522550291
U: 0.0007876188393539872
æ: 0.0006857265500016315
K: 0.0005819107403038171
^: 0.0005819107403038171
?: 0.00025381578262343563
&: 0.00013487030870163737
⅓: 0.00013487030870163737
œ: 0.00013487030870163737
χ: 0.00013487030870163737
μ: 0.00013487030870163737

-------string entropy-------

Average Entropy (Number) = 0.09707268373920801
Average Entropy (Word) = 1.7076787630154957
Average Entropy Normalised (Number) = 0.0195872235121512
Average Entropy Normalised (Word) = 0.22603964271865948

A: entropy = 0.006542808469974265, entropy normalised = 0.006542808469974265
PRELIMINARY: entropy = 0.0447237065903931, entropy normalised = 0.004065791508217554
DISSERTATION: entropy = 0.08774616597929295, entropy normalised = 0.007312180498274413
ON: entropy = 0.0057445238927707285, entropy normalised = 0.0028722619463853643
THE: entropy = 0.02501507962157002, entropy normalised = 0.008338359873856673
MECHANISM: entropy = 0.041759889438140824, entropy normalised = 0.0046399877153489805
OF: entropy = 0.005152797153207786, entropy normalised = 0.002576398576603893
HEAVENS.: entropy = 0.06471268968162723, entropy normalised = 0.008089086210203404
BY: entropy = 0.005088055079412935, entropy normalised = 0.0025440275397064674
MRS.: entropy = 0.048908609381966256, entropy normalised = 0.012227152345491564
SOMMERVILLE: entropy = 0.03983187497782642, entropy normalised = 0.0036210795434387655
PHILADELPHIA:: entropy = 0.060995732425944034, entropy normalised = 0.004691979417380311
CAREY: entropy = 0.014746778503073545, entropy normalised = 0.002949355700614709
&: entropy = 0.00013487030870163737, entropy normalised = 0.00013487030870163737
LEA: entropy = 0.012790183887516838, entropy normalised = 0.00426339462917228
1832: entropy = 0.030502332025313654, entropy normalised = 0.0076255830063284135
In: entropy = 0.26412555155320794, entropy normalised = 0.13206277577660397
order: entropy = 1.2881114387338903, entropy normalised = 0.2576222877467781
to: entropy = 0.6174409933207847, entropy normalised = 0.30872049666039236
convey: entropy = 1.2253312149280404, entropy normalised = 0.2042218691546734
some: entropy = 1.0443358238513742, entropy normalised = 0.26108395596284356
idea: entropy = 1.0848215393463434, entropy normalised = 0.27120538483658585
of: entropy = 0.41479616307436956, entropy normalised = 0.20739808153718478
the: entropy = 0.9678563320069349, entropy normalised = 0.322618777335645
object: entropy = 1.255909834251633, entropy normalised = 0.20931830570860552
this: entropy = 1.1099525981937557, entropy normalised = 0.2774881495484389
work,: entropy = 0.6915849318743731, entropy normalised = 0.1383169863748746
it: entropy = 0.6155402133379873, entropy normalised = 0.3077701066689936
may: entropy = 0.5002077875231223, entropy normalised = 0.1667359291743741
be: entropy = 0.47800928139635507, entropy normalised = 0.23900464069817753
useful: entropy = 1.2085865028043925, entropy normalised = 0.20143108380073207
offer: entropy = 1.1774638343231638, entropy normalised = 0.23549276686463277
a: entropy = 0.2779010547161599, entropy normalised = 0.2779010547161599
few: entropy = 0.602129226152157, entropy normalised = 0.200709742050719
preliminary: entropy = 2.4325334341338256, entropy normalised = 0.22113940310307506
observations: entropy = 2.9885042489092575, entropy normalised = 0.2490420207424381
on: entropy = 0.5304327554080014, entropy normalised = 0.2652163777040007
nature: entropy = 1.6327016884624557, entropy normalised = 0.2721169480770759
subject: entropy = 1.3671886783783063, entropy normalised = 0.19531266833975805
which: entropy = 0.9915508077247654, entropy normalised = 0.1983101615449531
is: entropy = 0.5260778953312055, entropy normalised = 0.26303894766560276
intended: entropy = 2.191027421258294, entropy normalised = 0.27387842765728676
investigate,: entropy = 3.0087886655502905, entropy normalised = 0.2507323887958575
and: entropy = 0.6816630295319284, entropy normalised = 0.2272210098439761
means: entropy = 1.3011592179147062, entropy normalised = 0.26023184358294127
that: entropy = 1.2034615428690802, entropy normalised = 0.30086538571727006
have: entropy = 0.9708453158254325, entropy normalised = 0.24271132895635814
already: entropy = 1.5821637480747819, entropy normalised = 0.2260233925821117
been: entropy = 1.1166684579183266, entropy normalised = 0.27916711447958165
adopted: entropy = 1.6804406903448157, entropy normalised = 0.2400629557635451
with: entropy = 0.9368357728739847, entropy normalised = 0.23420894321849617
so: entropy = 0.527978675314003, entropy normalised = 0.2639893376570015
much: entropy = 0.6635869244076369, entropy normalised = 0.16589673110190922
success: entropy = 1.5838864210065908, entropy normalised = 0.22626948871522726
bring: entropy = 0.9371528433416523, entropy normalised = 0.18743056866833047
within: entropy = 1.4653677482991887, entropy normalised = 0.24422795804986477
reach: entropy = 1.29792859106215, entropy normalised = 0.25958571821243004
our: entropy = 0.6502108799643688, entropy normalised = 0.21673695998812292
faculties,: entropy = 2.2046501567654913, entropy normalised = 0.22046501567654914
those: entropy = 1.4958350073209379, entropy normalised = 0.29916700146418757
truths: entropy = 1.5522396273704626, entropy normalised = 0.25870660456174377
might: entropy = 1.065052778907177, entropy normalised = 0.2130105557814354
seem: entropy = 1.1525622449653443, entropy normalised = 0.2881405612413361
placed: entropy = 1.2318464537402853, entropy normalised = 0.20530774229004756
far: entropy = 0.6565870968205695, entropy normalised = 0.21886236560685648
beyond: entropy = 1.247457677656514, entropy normalised = 0.20790961294275234
them.: entropy = 1.1383548138773414, entropy normalised = 0.22767096277546828
All: entropy = 0.3339813716409048, entropy normalised = 0.1113271238803016
knowledge: entropy = 1.7791114198964648, entropy normalised = 0.19767904665516275
we: entropy = 0.463088271108202, entropy normalised = 0.231544135554101
possess: entropy = 1.7715788645962758, entropy normalised = 0.2530826949423251
external: entropy = 2.067145732200561, entropy normalised = 0.25839321652507014
objects: entropy = 1.5081333015352214, entropy normalised = 0.21544761450503164
founded: entropy = 1.486434779346204, entropy normalised = 0.2123478256208863
upon: entropy = 0.768191498568624, entropy normalised = 0.192047874642156
experience,: entropy = 2.666038426012526, entropy normalised = 0.24236712963750237
furnishes: entropy = 2.1726460836868546, entropy normalised = 0.2414051204096505
facts,: entropy = 1.2482842331145243, entropy normalised = 0.20804737218575406
comparison: entropy = 2.2393475807953163, entropy normalised = 0.22393475807953162
these: entropy = 1.604061428434908, entropy normalised = 0.3208122856869816
facts: entropy = 1.165063164903044, entropy normalised = 0.2330126329806088
establishes: entropy = 2.9180107796032972, entropy normalised = 0.2652737072366634
