Summary

-------character entropy-------
e: 0.4174672812379939
n: 0.32667707882773245
i: 0.28240292824471946
r: 0.2503804099998596
s: 0.23065991298956617
t: 0.21717656811276126
a: 0.21595364403473932
d: 0.19780800311077043
h: 0.1966048550915472
l: 0.1677504493476768
u: 0.16014217690492866
c: 0.15514100286679003
o: 0.13246513745517766
g: 0.12692731877721417
m: 0.11847468058523383
,: 0.08912444119154035
b: 0.08894761868333997
.: 0.08642115378411747
p: 0.08496668499036676
f: 0.07729762420668368
w: 0.07386701464073628
z: 0.06495866727171234
ä: 0.05147470529642066
k: 0.047573873367578755
v: 0.04599900471121438
A: 0.04199863116586046
B: 0.03804709904620084
S: 0.03571507754079089
y: 0.03496850847487659
E: 0.03360847127285563
ü: 0.033315070805653865
G: 0.024566722502065208
W: 0.02414167752952676
D: 0.023527396453650217
T: 0.023043886830087516
F: 0.022395311175698165
_: 0.021660162229368427
P: 0.02067050117993403
-: 0.020365863906504977
C: 0.019501455612615605
R: 0.018542966897305974
V: 0.018514604457395997
L: 0.018287342723755512
I: 0.01728528950242869
H: 0.016561431126660087
U: 0.015506407443358768
ö: 0.015447336499174265
N: 0.015417782401347524
): 0.015240195266686693
(: 0.015151231624330085
—: 0.015121551686382392
M: 0.013681348493318035
O: 0.013285767876856067
1: 0.012579687446600152
;: 0.011958909217858863
*: 0.011457462607979724
j: 0.010472806911569066
Z: 0.009827644178501464
8: 0.008243311413186714
K: 0.00817608383916834
x: 0.007939954671054447
0: 0.00684281519029974
2: 0.006423176464759859
3: 0.004949024122458756
J: 0.004764333832141913
6: 0.004727250693422574
4: 0.004202686612305222
7: 0.0041648116947706785
5: 0.004088890002744778
q: 0.002878579907249307
": 0.0028383245319697436
9: 0.002797980764243678
:: 0.002430652917187574
#: 0.0017553057016247077
’: 0.0016247656339699807
°: 0.001536916130020942
Y: 0.0011779153145899718
ë: 0.0011320608017350825
«: 0.0010395923583891619
?: 0.0010395923583891619
=: 0.0010395923583891619
»: 0.0009929534899443002
é: 0.000946026062188137
Q: 0.0008512394490931399
′: 0.0007550792222278994
Ü: 0.00050719963678196
X: 0.00050719963678196
á: 0.00050719963678196
[: 0.0003514650127575447
