Summary

-------character entropy-------
e: 0.42040305556928675
n: 0.32598743478848413
i: 0.27135856045537404
t: 0.24081227934590047
r: 0.22728112996928243
a: 0.2220880890321759
s: 0.21217046329814768
d: 0.18914897479643308
l: 0.18522970411161624
h: 0.17936482195832323
u: 0.16769932805722051
c: 0.15304542851565606
m: 0.1312534640421974
g: 0.12789363818837743
,: 0.12298502342926697
o: 0.1197593614355814
b: 0.10862516956056308
f: 0.10157061159857413
k: 0.07755841524334996
w: 0.06810060146441355
z: 0.06150128768138837
S: 0.05764943112303302
ü: 0.05417475569509963
.: 0.05361208001483874
ß: 0.04913953599744385
p: 0.04775143862510383
ä: 0.040811731324872084
M: 0.039246564396845124
v: 0.03762691105931451
B: 0.031760095374791346
ö: 0.02605113210940977
E: 0.025556912657824563
K: 0.025355866060454643
P: 0.02510062915603134
1: 0.02456114320631615
2: 0.02423602991274514
W: 0.02209545691870877
C: 0.021034356010452195
Z: 0.02093598440578126
F: 0.02052726286164956
G: 0.019917645323946798
H: 0.019461117522358615
L: 0.018265090537009032
A: 0.018061589417150185
3: 0.017139214814473853
T: 0.016354486253472578
4: 0.015816648825193035
R: 0.015047693414151169
6: 0.014177972139864856
V: 0.013389959445002432
;: 0.011942729132074788
D: 0.011318318207411167
5: 0.010768180342489846
8: 0.010735644422204852
7: 0.009567188857018735
O: 0.008540513702035058
0: 0.008455333019882416
N: 0.008335803989208456
9: 0.007646335629062964
): 0.006410483075590286
(: 0.006212477102539694
~: 0.005537865591217287
": 0.004392421006890929
j: 0.003771524116540133
-: 0.003771524116540133
:: 0.0036335338266041423
ê: 0.0035344504203885896
I: 0.0029299821869447342
J: 0.002724261134136109
y: 0.0027035597592167822
/: 0.002048541083805057
_: 0.001808924943635533
U: 0.0017648794921321129
Q: 0.0013149041092341699
é: 0.0010347645573796388
q: 0.0007934603249748542
': 0.0006442013260208075
à: 0.0006189266158621391
x: 0.0005423149153411951
=: 0.0002476894483990814
»: 0.00010110991547922984
«: 0.00010110991547922984
}: 0.00010110991547922984
ç: 0.00010110991547922984
[: 6.967374426810325e-05
]: 6.967374426810325e-05
Ü: 6.967374426810325e-05
?: 3.677471767613485e-05
è: 3.677471767613485e-05

-------string entropy-------

Average Entropy (Number) = 0.09234573060258851
Average Entropy (Word) = 1.9086850336573522
Average Entropy Normalised (Number) = 0.024317100389781268
Average Entropy Normalised (Word) = 0.21009000098253042

Neuestes: entropy = 2.102397504696485, entropy normalised = 0.2627996880870606
Süddeutsches: entropy = 2.496191032022968, entropy normalised = 0.20801591933524732
Kochbuch: entropy = 1.0862602260617782, entropy normalised = 0.13578252825772227
für: entropy = 0.3830264972629562, entropy normalised = 0.12767549908765205
alle: entropy = 1.0129505528246951, entropy normalised = 0.2532376382061738
Stände.: entropy = 1.3284249869628484, entropy normalised = 0.18977499813754978
Eine: entropy = 1.0433059634709696, entropy normalised = 0.2608264908677424
Sammlung: entropy = 1.3490545533853022, entropy normalised = 0.16863181917316278
von: entropy = 0.48337370728338, entropy normalised = 0.16112456909446002
mehr: entropy = 0.9583024715390899, entropy normalised = 0.23957561788477247
als: entropy = 0.6194882564419398, entropy normalised = 0.2064960854806466
achthundert: entropy = 2.5460076433369863, entropy normalised = 0.2314552403033624
in: entropy = 0.5973459952438582, entropy normalised = 0.2986729976219291
vierzigjähriger: entropy = 2.9155887349297367, entropy normalised = 0.19437258232864912
Erfahrung: entropy = 1.604723096219545, entropy normalised = 0.1783025662466161
erprobter: entropy = 2.0395977500135696, entropy normalised = 0.22662197222372996
Rezepte: entropy = 1.626321865774404, entropy normalised = 0.23233169511062915
der: entropy = 0.8368331603350022, entropy normalised = 0.27894438677833405
feinen: entropy = 1.86571015276949, entropy normalised = 0.3109516921282483
und: entropy = 0.6828357376421378, entropy normalised = 0.22761191254737925
bürgerlichen: entropy = 2.7010478843506327, entropy normalised = 0.22508732369588605
Kochkunst,: entropy = 1.6247384221323848, entropy normalised = 0.1624738422132385
herausgegeben: entropy = 3.380615935318099, entropy normalised = 0.2600473796398538
Viktorine: entropy = 1.9679087567076357, entropy normalised = 0.21865652852307063
Schiller.: entropy = 1.733173915829027, entropy normalised = 0.19257487953655855
Stuttgart.: entropy = 1.8194728137685299, entropy normalised = 0.18194728137685298
~E.: entropy = 0.0847068582638806, entropy normalised = 0.02823561942129353
Schweizerbart'sche: entropy = 3.6235420108814007, entropy normalised = 0.20130788949341116
Verlagshandlung.~: entropy = 3.1910054109410595, entropy normalised = 0.18770620064359173
1843.: entropy = 0.12186473128302663, entropy normalised = 0.024372946256605327
Vorwort.: entropy = 1.069995903079883, entropy normalised = 0.13374948788498536
Von: entropy = 0.459136755669068, entropy normalised = 0.15304558522302267
vielen: entropy = 1.6610087215533624, entropy normalised = 0.2768347869255604
Seiten: entropy = 1.7366138168513652, entropy normalised = 0.2894356361418942
bin: entropy = 0.7059711648044212, entropy normalised = 0.23532372160147375
ich: entropy = 0.6037688109293533, entropy normalised = 0.20125627030978444
aufgefordert: entropy = 2.5659112651299756, entropy normalised = 0.2138259387608313
worden,: entropy = 1.4736655814527482, entropy normalised = 0.21052365449324975
meine: entropy = 1.5694055704246292, entropy normalised = 0.31388111408492586
Erfahrungen: entropy = 2.3511135865773154, entropy normalised = 0.21373759877975596
~feinern: entropy = 2.0985291483299897, entropy normalised = 0.2623161435412487
Kochkunst~,: entropy = 1.6302762877236021, entropy normalised = 0.1482069352476002
die: entropy = 0.8809105908210939, entropy normalised = 0.2936368636070313
mir: entropy = 0.6298931544668539, entropy normalised = 0.20996438482228463
Praxis,: entropy = 1.0815262102556196, entropy normalised = 0.15450374432223138
sowohl: entropy = 0.8843843137036634, entropy normalised = 0.14739738561727725
bei: entropy = 0.8003867855852238, entropy normalised = 0.2667955951950746
Herrschaften: entropy = 2.749868617136759, entropy normalised = 0.2291557180947299
großen: entropy = 1.270464155948456, entropy normalised = 0.21174402599140932
Gasthöfen,: entropy = 1.8713505564535158, entropy normalised = 0.18713505564535157
~Schweiz~,: entropy = 1.3454839413791764, entropy normalised = 0.13454839413791764
~München~,: entropy = 1.6322702503238806, entropy normalised = 0.16322702503238806
~Augsburg~,: entropy = 1.2913850393480408, entropy normalised = 0.11739863994073098
~Ulm~,: entropy = 0.4523088022576473, entropy normalised = 0.07538480037627455
~Stuttgart~,: entropy = 1.8999214883653925, entropy normalised = 0.15832679069711605
~Frankfurt: entropy = 1.616343546457137, entropy normalised = 0.16163435464571368
a.: entropy = 0.2757001690470146, entropy normalised = 0.1378500845235073
M.~,: entropy = 0.22138153343216813, entropy normalised = 0.05534538335804203
~Heidelberg~,: entropy = 2.5242682159235668, entropy normalised = 0.19417447814796668
~Heilbronn~: entropy = 2.0151686993834654, entropy normalised = 0.18319715448940596
etc.: entropy = 0.867872843445682, entropy normalised = 0.2169682108614205
gesammelt: entropy = 2.0915072131991863, entropy normalised = 0.23238969035546514
habe,: entropy = 1.0534661595496158, entropy normalised = 0.21069323190992315
durch: entropy = 0.9165396832969154, entropy normalised = 0.18330793665938308
den: entropy = 0.9355394651542039, entropy normalised = 0.31184648838473467
Druck: entropy = 0.6369026199929201, entropy normalised = 0.12738052399858402
bekannt: entropy = 1.7214618783282445, entropy normalised = 0.2459231254754635
zu: entropy = 0.2292006157386089, entropy normalised = 0.11460030786930445
machen;: entropy = 1.4440850230381983, entropy normalised = 0.20629786043402834
beschäftigte: entropy = 2.5172710947302623, entropy normalised = 0.20977259122752187
mich: entropy = 0.7350222749715507, entropy normalised = 0.18375556874288768
daher: entropy = 1.2382860713255015, entropy normalised = 0.2476572142651003
schon: entropy = 0.9903275099961926, entropy normalised = 0.1980655019992385
seit: entropy = 1.144744358668709, entropy normalised = 0.28618608966717723
mehreren: entropy = 2.35237714743543, entropy normalised = 0.2940471434294287
Jahren: entropy = 1.3778487924516885, entropy normalised = 0.22964146540861474
