Summary

-------character entropy-------
e: 0.3713146948498816
t: 0.3090627861046479
a: 0.2754707398611737
o: 0.2682880760721591
n: 0.2606371263193786
i: 0.2561093584097793
s: 0.23847148898080525
h: 0.23386636885437692
r: 0.23098863989317803
d: 0.18496922511418773
l: 0.18239979005470003
u: 0.1420058092844182
c: 0.13477882908523067
m: 0.13383887889122242
f: 0.13108506399781739
w: 0.10995074623776337
,: 0.10455431152661943
p: 0.10269883936537114
y: 0.10153168528142187
g: 0.1006426897789083
b: 0.08420375974338652
v: 0.06733541596765479
.: 0.05831860566605467
I: 0.04344467106358838
k: 0.035291287830341904
—: 0.027279535698783587
T: 0.020672639608381956
x: 0.016899264679412933
;: 0.01623812776753106
_: 0.014601718145656502
A: 0.014304740658698049
“: 0.013049587956401558
”: 0.011750169060009709
-: 0.010885854821329772
q: 0.01015801265985479
H: 0.008650390440262045
!: 0.008514436741770732
M: 0.0075108291928275015
W: 0.007090358200402074
S: 0.006969386266373964
E: 0.006928976941840457
j: 0.006827764193933074
z: 0.006766905160338149
’: 0.0065224604907306825
B: 0.006358576037478182
(: 0.005716101036581226
): 0.005716101036581226
D: 0.00565326427708084
P: 0.005400672857556226
?: 0.005400672857556226
N: 0.0050178636038541394
O: 0.004996451673487351
F: 0.004932121187080663
V: 0.0037920735711103604
C: 0.0037696339196259406
L: 0.003747172544982636
G: 0.0034075388035093184
Y: 0.003178103072013593
‘: 0.002946025253920712
R: 0.0027583018128107695
U: 0.002279928762837101
*: 0.002279928762837101
:: 0.0022069262842419014
1: 0.001960908714935466
2: 0.0014802340105540314
0: 0.001376395803037616
K: 0.001218566779891711
3: 0.0009764016374606151
ö: 0.0007825211113192714
J: 0.0007825211113192714
é: 0.0007260434208455431
8: 0.0005530503347779508
4: 0.0005236154241562678
[: 0.0004939808034133484
]: 0.0004939808034133484
5: 0.0004641331393814947
7: 0.0004641331393814947
Z: 0.00037314711506048485
6: 0.00037314711506048485
9: 0.00037314711506048485
æ: 0.000279515014791114
Q: 0.000247560459564605
/: 0.00014861115875204706
è: 0.00011421431705289858
ê: 0.00011421431705289858
&: 0.00011421431705289858
Α: 0.00011421431705289858
ô: 7.873240505426856e-05
+: 7.873240505426856e-05
ä: 7.873240505426856e-05
œ: 7.873240505426856e-05
Λ: 7.873240505426856e-05
Ξ: 7.873240505426856e-05
Μ: 7.873240505426856e-05
Æ: 7.873240505426856e-05
à: 4.1579615366256794e-05
ç: 4.1579615366256794e-05
": 4.1579615366256794e-05
â: 4.1579615366256794e-05
Γ: 4.1579615366256794e-05
Ε: 4.1579615366256794e-05
ë: 4.1579615366256794e-05

-------string entropy-------

Average Entropy (Number) = 0.0673051388833422
Average Entropy (Word) = 1.6837573085015163
Average Entropy Normalised (Number) = 0.013105806652636325
Average Entropy Normalised (Word) = 0.21232307793124172

The: entropy = 0.6258537033126406, entropy normalised = 0.20861790110421352
Works: entropy = 0.7801298509768863, entropy normalised = 0.15602597019537726
of: entropy = 0.3993731400699765, entropy normalised = 0.19968657003498824
Edgar: entropy = 0.7990002715892881, entropy normalised = 0.15980005431785763
Allan: entropy = 0.9152121869486503, entropy normalised = 0.18304243738973006
Poe: entropy = 0.645003443779597, entropy normalised = 0.21500114792653233
by: entropy = 0.18573544502480838, entropy normalised = 0.09286772251240419
Raven: entropy = 0.9775162788108995, entropy normalised = 0.19550325576217992
Edition: entropy = 1.5421049073717723, entropy normalised = 0.22030070105311034
VOLUME: entropy = 0.029255432687085407, entropy normalised = 0.004875905447847568
II.: entropy = 0.14520794779323143, entropy normalised = 0.04840264926441048
Contents: entropy = 2.021243718670525, entropy normalised = 0.2526554648338156
THE: entropy = 0.036252006990484455, entropy normalised = 0.012084002330161485
PURLOINED: entropy = 0.0802273035380379, entropy normalised = 0.008914144837559767
LETTER: entropy = 0.06170870745823823, entropy normalised = 0.010284784576373038
THOUSAND-AND-SECOND: entropy = 0.14862782015553075, entropy normalised = 0.007822516850291093
TALE: entropy = 0.0456535297539031, entropy normalised = 0.011413382438475774
OF: entropy = 0.009928572860568013, entropy normalised = 0.004964286430284006
SCHEHERAZADE: entropy = 0.08622092641439355, entropy normalised = 0.007185077201199462
A: entropy = 0.014304740658698049, entropy normalised = 0.014304740658698049
DESCENT: entropy = 0.05594074155899775, entropy normalised = 0.00799153450842825
INTO: entropy = 0.07413162594931182, entropy normalised = 0.018532906487327954
MAELSTROM.: entropy = 0.13371793355828485, entropy normalised = 0.013371793355828485
VON: entropy = 0.013806388848451851, entropy normalised = 0.0046021296161506174
KEMPELEN: entropy = 0.04368203580463358, entropy normalised = 0.005460254475579198
AND: entropy = 0.024975868539633028, entropy normalised = 0.00832528951321101
HIS: entropy = 0.05906444777022439, entropy normalised = 0.019688149256741463
DISCOVERY: entropy = 0.08149086259793166, entropy normalised = 0.009054540288659074
MESMERIC: entropy = 0.08582160533173497, entropy normalised = 0.010727700666466871
REVELATION: entropy = 0.11259186842059456, entropy normalised = 0.011259186842059456
FACTS: entropy = 0.05064852164016057, entropy normalised = 0.010129704328032115
IN: entropy = 0.04846253466744252, entropy normalised = 0.02423126733372126
CASE: entropy = 0.03197273778653841, entropy normalised = 0.007993184446634603
M.: entropy = 0.06582943485888218, entropy normalised = 0.03291471742944109
VALDEMAR: entropy = 0.059000099658048664, entropy normalised = 0.007375012457256083
BLACK: entropy = 0.029398689940676518, entropy normalised = 0.005879737988135304
CAT.: entropy = 0.09706561985276062, entropy normalised = 0.024266404963190154
FALL: entropy = 0.026731206935743983, entropy normalised = 0.006682801733935996
HOUSE: entropy = 0.029825134084800912, entropy normalised = 0.005965026816960183
USHER: entropy = 0.027586984224124332, entropy normalised = 0.005517396844824866
SILENCE—A: entropy = 0.11839095763958762, entropy normalised = 0.01315455084884307
FABLE: entropy = 0.03627158737007999, entropy normalised = 0.007254317474015998
MASQUE: entropy = 0.03824142228214168, entropy normalised = 0.006373570380356947
RED: entropy = 0.015340543031732067, entropy normalised = 0.0051135143439106885
DEATH.: entropy = 0.11452861759231803, entropy normalised = 0.019088102932053003
CASK: entropy = 0.026262327624589667, entropy normalised = 0.006565581906147417
AMONTILLADO.: entropy = 0.18671460316612357, entropy normalised = 0.015559550263843631
IMP: entropy = 0.056356173113972105, entropy normalised = 0.018785391037990703
PERVERSE: entropy = 0.04246566714618346, entropy normalised = 0.0053082083932729325
ISLAND: entropy = 0.07913709841457801, entropy normalised = 0.01318951640242967
FAY: entropy = 0.022414964917792303, entropy normalised = 0.007471654972597434
ASSIGNATION: entropy = 0.1685499532704077, entropy normalised = 0.015322723024582518
PIT: entropy = 0.06951798352952657, entropy normalised = 0.023172661176508857
PENDULUM: entropy = 0.038818636943816, entropy normalised = 0.004852329617977
PREMATURE: entropy = 0.06954336858960329, entropy normalised = 0.007727040954400365
BURIAL: entropy = 0.07289339088039512, entropy normalised = 0.012148898480065853
DOMAIN: entropy = 0.08092782046953627, entropy normalised = 0.013487970078256044
ARNHEIM: entropy = 0.08861577371388134, entropy normalised = 0.012659396244840191
LANDOR’S: entropy = 0.049969641328018434, entropy normalised = 0.006246205166002304
COTTAGE: entropy = 0.07475262121392502, entropy normalised = 0.010678945887703574
WILLIAM: entropy = 0.12328961526906966, entropy normalised = 0.017612802181295666
WILSO: entropy = 0.0662480397488344, entropy normalised = 0.013249607949766882
TELL-TALE: entropy = 0.09163534621542056, entropy normalised = 0.01018170513504673
HEART.: entropy = 0.11163365512804795, entropy normalised = 0.01860560918800799
BERENICE: entropy = 0.08213597726287877, entropy normalised = 0.010266997157859847
ELEONORA: entropy = 0.04967893585100121, entropy normalised = 0.006209866981375151
NOTES: entropy = 0.04458531809393787, entropy normalised = 0.008917063618787574
TO: entropy = 0.025669091281869307, entropy normalised = 0.012834545640934654
SECOND: entropy = 0.033335576682262696, entropy normalised = 0.0055559294470437825
Nil: entropy = 0.44352701206833345, entropy normalised = 0.14784233735611116
sapientiæ: entropy = 2.0701539073156074, entropy normalised = 0.23001710081284527
odiosius: entropy = 1.8527128813240932, entropy normalised = 0.23158911016551165
acumine: entropy = 1.5741554367010844, entropy normalised = 0.22487934810015492
nimio.—_Seneca_.: entropy = 2.7685884526564446, entropy normalised = 0.1730367782910278
At: entropy = 0.3233675267633459, entropy normalised = 0.16168376338167295
Paris,: entropy = 1.110995211529112, entropy normalised = 0.18516586858818532
just: entropy = 0.6963678485638044, entropy normalised = 0.1740919621409511
after: entropy = 1.3179219247066984, entropy normalised = 0.2635843849413397
dark: entropy = 0.7267198926988813, entropy normalised = 0.18167997317472032
one: entropy = 0.9002398972414192, entropy normalised = 0.30007996574713974
gusty: entropy = 0.8917144594302016, entropy normalised = 0.1783428918860403
evening: entropy = 1.6879911064948627, entropy normalised = 0.24114158664212323
in: entropy = 0.5167464847291579, entropy normalised = 0.2583732423645789
the: entropy = 0.9142438498089065, entropy normalised = 0.30474794993630216
autumn: entropy = 1.263021149745259, entropy normalised = 0.21050352495754318
18-,: entropy = 0.11795412539766262, entropy normalised = 0.029488531349415655
I: entropy = 0.04344467106358838, entropy normalised = 0.04344467106358838
was: entropy = 0.6238929750797423, entropy normalised = 0.20796432502658077
enjoying: entropy = 1.6259885212248404, entropy normalised = 0.20324856515310505
twofold: entropy = 1.4540437636534345, entropy normalised = 0.20772053766477636
luxury: entropy = 0.8158309984775493, entropy normalised = 0.13597183307959154
meditation: entropy = 2.6248630301368574, entropy normalised = 0.26248630301368575
and: entropy = 0.72107709129474, entropy normalised = 0.24035903043158
a: entropy = 0.2754707398611737, entropy normalised = 0.2754707398611737
meerschaum,: entropy = 2.3704433349680105, entropy normalised = 0.2154948486334555
company: entropy = 1.2772441748759575, entropy normalised = 0.18246345355370822
with: entropy = 0.9089892596065674, entropy normalised = 0.22724731490164185
my: entropy = 0.2353705641726443, entropy normalised = 0.11768528208632215
friend: entropy = 1.4351041085842224, entropy normalised = 0.23918401809737042
C.: entropy = 0.06208823958568061, entropy normalised = 0.031044119792840306
Auguste: entropy = 1.3178080189417776, entropy normalised = 0.18825828842025394
Dupin,: entropy = 0.8716587091826473, entropy normalised = 0.14527645153044122
his: entropy = 0.7284472162449614, entropy normalised = 0.2428157387483205
little: entropy = 1.6103492055783568, entropy normalised = 0.26839153426305945
back: entropy = 0.5297446165201327, entropy normalised = 0.13243615413003318
library,: entropy = 1.4662469246634369, entropy normalised = 0.1832808655829296
or: entropy = 0.4992767159653371, entropy normalised = 0.24963835798266856
book-closet,: entropy = 2.2758270312134203, entropy normalised = 0.18965225260111837
_au: entropy = 0.43207826729124843, entropy normalised = 0.1440260890970828
